Date,Open,High,Low,Close,Adj Close,Volume,Sentiment
2020-09-01,7.3,7.82,6.77,7.65,7.65,23211000,0.6081341738286226
2020-09-02,7.8,8.05,7.11,7.71,7.71,13011100,0.6565307367081735
2020-09-03,7.88,8.45,7.24,7.82,7.82,14344500,0.6332609630189836
2020-09-04,7.78,7.92,7.17,7.65,7.65,7662000,0.7354162427286307
2020-09-08,7.55,8.28,7.48,7.7,7.7,9816600,0.6699105005079172
2020-09-09,7.96,7.99,7.31,7.35,7.35,9068100,0.6906973569211631
2020-09-10,6.65,6.95,6.19,6.23,6.23,15558300,0.7081410378706585
2020-09-11,6.26,6.33,5.87,6.09,6.09,6061200,0.5
2020-09-14,6.8,7.0,6.43,6.91,6.91,10119000,0.5
2020-09-15,6.86,7.26,6.69,7.09,7.09,5743500,0.5
2020-09-16,7.03,9.04,7.03,8.68,8.68,19256300,0.6875483917033333
2020-09-17,8.57,9.77,8.41,9.2,9.2,17026700,0.6911867687209609
2020-09-18,9.2,9.77,8.91,9.47,9.47,17407500,0.7337220969850001
2020-09-21,9.35,9.6,8.38,8.75,8.75,7639800,0.5936034050125342
2020-09-22,10.45,11.17,9.9,10.56,10.56,34752500,0.7699980703847749
2020-09-23,10.6,10.86,9.92,10.04,10.04,10651200,0.7200122280479518
2020-09-24,9.71,9.81,9.01,9.14,9.14,7938800,0.6780337755501803
2020-09-25,9.19,10.18,9.1,10.02,10.02,7515200,0.6598154735216435
2020-09-28,10.16,10.26,9.55,10.09,10.09,6764300,0.7104318701972564
2020-09-29,10.0,10.65,9.93,10.35,10.35,5237600,0.6072117803761592
2020-09-30,10.25,10.76,10.06,10.2,10.2,6079000,0.5
2020-10-01,10.09,10.25,9.69,9.77,9.77,4554100,0.7336681809347982
2020-10-02,9.38,9.78,9.3,9.39,9.39,4340500,0.5
2020-10-05,9.44,9.59,9.25,9.46,9.46,2805000,0.5
2020-10-06,9.56,9.84,9.1,9.13,9.13,4535400,0.7438154865644481
2020-10-07,9.23,9.56,9.17,9.36,9.36,3308600,0.5
2020-10-08,9.54,13.64,9.19,13.49,13.49,76453600,0.6321385786899335
2020-10-09,12.83,14.8,11.9,12.02,12.02,77152800,0.6486028564988442
2020-10-12,11.66,12.77,11.4,11.8,11.8,23655700,0.8084816774071166
2020-10-13,11.73,12.42,11.65,11.88,11.88,10179700,0.7173768633878544
2020-10-14,12.67,12.68,12.05,12.25,12.25,10776800,0.685449050567961
2020-10-15,11.99,15.1,11.99,13.83,13.83,39894800,0.7042462817308578
2020-10-16,13.77,13.9,13.08,13.31,13.31,11651600,0.7194809059612453
2020-10-19,13.44,14.5,13.38,13.91,13.91,13169100,0.5
2020-10-20,14.03,14.14,13.67,13.86,13.86,6604000,0.7747421903630435
2020-10-21,13.9,14.42,13.8,14.1,14.1,5361900,0.7006377623242847
2020-10-22,14.2,15.87,14.19,14.91,14.91,16212200,0.6326429784297943
2020-10-23,15.05,15.38,14.55,15.0,15.0,6507300,0.4687879495322704
2020-10-26,14.93,15.45,13.26,13.45,13.45,13376300,0.7533712417230403
2020-10-27,13.71,13.71,12.36,12.69,12.69,7231000,0.6252714233385209
2020-10-28,12.27,13.05,11.78,11.82,11.82,6388600,0.7095760874545727
2020-10-29,11.88,12.25,11.68,11.73,11.73,4165800,0.6777596813745987
2020-10-30,11.64,11.64,10.36,10.47,10.47,11546900,0.7234635339340284
2020-11-02,10.82,11.09,10.5,10.75,10.75,5227000,0.7785145426367192
2020-11-03,10.75,11.86,10.63,11.57,11.57,7454500,0.5
2020-11-04,11.76,11.77,10.61,10.91,10.91,5807900,0.750413972579065
2020-11-05,11.27,11.84,11.06,11.45,11.45,4705200,0.5
2020-11-06,11.52,12.17,11.32,11.86,11.86,5518200,0.5
2020-11-09,12.76,12.93,11.25,11.49,11.49,6244900,0.709374079387635
2020-11-10,11.5,11.66,10.83,11.1,11.1,3826000,0.6719290308654309
2020-11-11,11.5,11.95,11.21,11.75,11.75,4882600,0.7341501040286139
2020-11-12,11.74,11.87,10.97,11.13,11.13,4353300,0.6848454576730728
2020-11-13,11.36,11.55,11.0,11.01,11.01,3535900,0.5
2020-11-16,11.16,12.66,10.72,12.06,12.06,9774800,0.6821263713496072
2020-11-17,11.65,11.92,11.23,11.63,11.63,6678200,0.5466791316866875
2020-11-18,11.8,12.04,11.56,11.57,11.57,3169200,0.21092723309993744
2020-11-19,11.6,12.79,11.45,12.46,12.46,11787600,0.5
2020-11-20,12.55,13.46,12.54,12.71,12.71,8395400,0.6592276096343994
2020-11-23,12.9,14.12,12.67,13.9,13.9,9599100,0.7544917792081833
2020-11-24,14.23,14.26,13.3,13.67,13.67,7183200,0.5
2020-11-25,13.6,15.25,13.42,14.75,14.75,8860100,0.7813632041215897
2020-11-27,15.29,16.74,14.88,16.08,16.08,12504200,0.5826960504055023
2020-11-30,18.17,19.42,16.559998999999998,16.559998999999998,16.559998999999998,31983500,0.8907996416091919
2020-12-01,17.110001,17.4,15.76,15.8,15.8,12666000,0.5604439377784729
2020-12-02,15.7,16.68,15.38,16.58,16.58,7883400,0.7869029641151428
2020-12-03,16.48,16.639999,15.87,16.120001000000002,16.120001000000002,6295000,0.967406690120697
2020-12-04,16.299999,17.290001,16.26,16.9,16.9,8972700,0.9545655846595764
2020-12-07,17.0,17.5,16.219998999999998,16.35,16.35,7386300,0.6645323832829794
2020-12-08,16.370001000000002,17.209999,15.93,16.940001000000002,16.940001000000002,16120200,0.6744825541973114
2020-12-09,13.92,14.73,13.23,13.66,13.66,24357900,0.8792251825332642
2020-12-10,13.12,14.41,13.05,14.12,14.12,7558900,0.4527814090251922
2020-12-11,13.91,14.0,13.02,13.31,13.31,7496900,0.14498843252658844
2020-12-14,13.34,13.43,12.14,12.72,12.72,10007100,0.6793750386971694
2020-12-15,12.78,14.02,12.48,13.85,13.85,8192900,0.7386319227516651
2020-12-16,13.96,14.31,13.58,13.85,13.85,5865100,0.9140549302101136
2020-12-17,13.96,14.98,13.59,14.83,14.83,8194900,0.5
2020-12-18,15.78,16.299999,15.18,15.63,15.63,16618800,0.9690744280815125
2020-12-21,15.81,16.35,15.28,15.53,15.53,9876100,0.6365295469760894
2020-12-22,16.219998999999998,20.040001,16.15,19.459999,19.459999,30652700,0.7997478715011052
2020-12-23,20.17,22.35,19.129998999999998,20.57,20.57,25830300,0.947466512521108
2020-12-24,21.01,21.48,19.950001,20.15,20.15,6262200,0.8503663539886475
2020-12-28,21.309998999999998,21.969998999999998,20.35,20.99,20.99,8965900,0.4338407814502716
2020-12-29,20.82,21.07,18.559998999999998,19.379998999999998,19.379998999999998,9241400,0.7623824902943203
2020-12-30,19.379998999999998,20.0,18.85,19.26,19.26,5934400,0.9066100120544434
2020-12-31,19.25,19.799999,18.799999,18.84,18.84,6922700,0.9074469804763794
2021-01-04,19.0,19.1,17.15,17.25,17.25,10022500,0.9436956524848938
2021-01-05,17.35,18.08,17.23,17.370001000000002,17.370001000000002,4961500,0.8342455228169761
2021-01-06,17.34,18.98,17.33,18.360001,18.360001,6056200,0.8784832656383514
2021-01-07,18.469998999999998,19.450001,18.02,18.08,18.08,6129300,0.7852688431739807
2021-01-08,18.18,18.299999,17.08,17.690001000000002,17.690001000000002,6482000,0.9053838849067688
2021-01-11,19.41,20.65,19.01,19.940001000000002,19.940001000000002,14927600,0.7984247207641602
2021-01-12,19.959999,20.4,19.32,19.950001,19.950001,7060700,0.8764147162437439
2021-01-13,20.42,38.650002,20.030001000000002,31.4,31.4,144501700,0.07217634469270706
2021-01-14,38.09,43.060001,33.049999,39.91,39.91,93717400,0.679186999797821
2021-01-15,38.490002000000004,40.75,34.009997999999996,35.5,35.5,46866400,0.8814147114753723
2021-01-19,41.549999,45.52,36.639998999999996,39.360001000000004,39.360001000000004,74721900,0.9918091893196106
2021-01-20,37.369999,41.189999,36.060001,39.119999,39.119999,33471800,0.744119368493557
2021-01-21,39.23,44.75,37.0,43.029999,43.029999,57079800,0.8709775507450104
2021-01-22,42.59,76.760002,42.32,65.010002,65.010002,197157900,0.33157337456941605
2021-01-25,96.730003,159.179993,61.130001,76.790001,76.790001,177874000,0.27796322107315063
2021-01-26,88.559998,150.0,80.199997,147.979996,147.979996,178588000,0.9503173232078552
2021-01-27,354.829987,380.0,249.0,347.51001,347.51001,93396700,0.10939707607030867
2021-01-28,265.0,483.0,112.25,193.600006,193.600006,58815800,0.8553307801485062
2021-01-29,379.709991,413.980011,250.0,325.0,325.0,50259200,0.8513603210449219
2021-02-01,316.559998,322.0,212.0,225.0,225.0,37382200,0.8583570718765259
2021-02-02,140.759995,158.0,74.220001,90.0,90.0,78183100,0.9796878695487976
2021-02-03,112.010002,113.400002,85.25,92.410004,92.410004,42698500,0.0934433937072754
2021-02-04,91.190002,91.5,53.330002,53.5,53.5,62427300,0.9192370772361756
2021-02-05,54.040001000000004,95.0,51.09,63.77,63.77,80886300,0.5
2021-02-08,72.410004,72.660004,58.02,60.0,60.0,25687300,0.9606719017028807
2021-02-09,56.610001000000004,57.0,46.52,50.310001,50.310001,26843100,0.8211885839700699
2021-02-10,50.77,62.830002,46.549999,51.200001,51.200001,36455000,0.85245680809021
2021-02-11,50.009997999999996,55.32,48.220001,51.099998,51.099998,12997400,0.7527260556817055
2021-02-12,50.75,55.240002000000004,48.049999,52.400002,52.400002,14498000,0.2659042656421661
2021-02-16,52.66,53.5,49.040001000000004,49.509997999999996,49.509997999999996,8175000,0.4726300239562988
2021-02-17,49.77,51.189999,44.560001,45.939999,45.939999,9186800,0.847337543964386
2021-02-18,48.490002000000004,48.869999,40.650002,40.689999,40.689999,23990600,0.8109907507896423
2021-02-19,41.279999,43.889998999999996,38.5,40.59,40.59,14828200,0.4351058602333069
2021-02-22,46.689999,48.509997999999996,42.400002,46.0,46.0,19476000,0.6727351546287537
2021-02-23,44.970001,46.23,40.0,44.970001,44.970001,7565200,0.480897568166256
2021-02-24,44.700001,91.709999,44.700001,91.709999,91.709999,83111700,0.6818926334381104
2021-02-25,169.559998,184.679993,101.0,108.730003,108.730003,150308800,0.9879805147647858
2021-02-26,117.459999,142.899994,86.0,101.739998,101.739998,91963000,0.6024150556574265
2021-03-01,104.540001,133.990005,99.970001,120.400002,120.400002,49597300,0.5
2021-03-02,116.93,133.199997,112.199997,118.18,118.18,33640400,0.6879509150981903
2021-03-03,122.510002,127.75,113.120003,124.18,124.18,19173700,0.9495748480161031
2021-03-04,125.0,147.869995,115.300003,132.350006,132.350006,32473600,0.9570922454198202
2021-03-05,128.169998,151.529999,127.5,137.740005,137.740005,30660200,0.5
2021-03-08,154.889999,210.86999500000002,146.100006,194.5,194.5,63424800,0.9990264177322388
2021-03-09,217.710007,249.850006,208.509995,246.899994,246.899994,38725800,0.9811438918113708
2021-03-10,269.429993,348.5,172.0,265.0,265.0,71361900,0.9321991205215454
2021-03-11,241.63999900000002,281.5,232.600006,260.0,260.0,28186000,0.8506136536598206
2021-03-12,275.0,295.5,262.269989,264.5,264.5,25760700,0.3835295289754868
2021-03-15,277.519989,283.0,206.0,220.13999900000002,220.13999900000002,24100400,0.8034768879413605
2021-03-16,203.16000400000001,220.69999700000002,172.350006,208.169998,208.169998,35241900,0.7136642392724752
2021-03-17,217.83999599999999,231.47000099999997,204.0,209.809998,209.809998,16259300,0.5
2021-03-18,214.0,218.88000499999998,195.649994,201.75,201.75,11764900,0.5
2021-03-19,195.729996,227.0,182.66000400000001,200.270004,200.270004,24552100,0.5
2021-03-22,205.259995,210.36000099999998,186.199997,194.490005,194.490005,10061500,0.5
2021-03-23,197.5,201.75,177.550003,181.75,181.75,14429100,0.5
2021-03-24,157.979996,166.970001,118.620003,120.339996,120.339996,24177900,0.5
2021-03-25,123.489998,187.5,116.900002,183.75,183.75,50962300,0.5
2021-03-26,197.679993,218.92999300000002,163.259995,181.0,181.0,37371900,0.8515069484710693
2021-03-29,180.75,193.919998,173.509995,181.300003,181.300003,10042200,0.8081933379173278
2021-03-30,187.5,204.300003,182.0,194.46000700000002,194.46000700000002,17094900,0.4530333181222279
2021-03-31,197.5,199.46000700000002,187.110001,189.820007,189.820007,8393800,0.5439909646908442
